Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_006094495.1	ASM609449v1	Priestia megaterium NBRC 15308 = ATCC 14581		ATCC 14581					GCF_006094495.1-RS_2024_05_17	Complete Genome	2019-06-06		7
GCF_000196555.1	ASM19655v1	Bifidobacterium longum subsp. longum JCM 1217		JCM 1217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-01-28		1
GCF_034478925.1	ASM3447892v1	Bacillus licheniformis		ATCC 14580					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-19		1
GCF_019048645.1	ASM1904864v1	Streptococcus mutans		FDAARGOS 1458					GCF_019048645.1-RS_2024_07_20	Complete Genome	2021-06-28		1
GCF_020525545.1	ASM2052554v1	Klebsiella variicola subsp. variicola		F2R9T					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-19		1
GCF_022869645.1	ASM2286964v1	Neisseria meningitidis		PartJ-Nmeningitidis-RM8376					GCF_022869645.1-RS_2024_04_26	Complete Genome	2022-04-11		1
GCF_020099175.1	ASM2009917v1	Klebsiella quasipneumoniae		FDAARGOS_1503					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-23		3
GCF_000014805.1	ASM1480v1	Aeromonas hydrophila subsp. hydrophila ATCC 7966		ATCC 7966					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2006-11-06		1
GCF_016027375.1	ASM1602737v1	Clostridium perfringens		FDAARGOS_903					GCF_016027375.1-RS_2024_10_16	Complete Genome	2020-12-14		2
GCF_000007125.1	ASM712v1	Brucella melitensis bv. 1 str. 16M		16M					GCF_000007125.1-RS_2024_03_28	Complete Genome	2001-12-28		2
GCF_030297255.1	ASM3029725v1	Burkholderia pseudomallei		GTC3P0254T					GCF_030297255.1-RS_2024_06_21	Complete Genome	2023-05-16		2
GCF_001941585.1	ASM194158v1	Legionella pneumophila		Philadelphia-1			AE		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-01-10		1
GCF_022811565.1	ASM2281156v1	Paenibacillus polymyxa ATCC 842		ATCC 842					GCF_022811565.1-RS_2024_04_21	Complete Genome	2022-04-04		2
GCF_000011325.1	ASM1132v1	Corynebacterium glutamicum ATCC 13032		ATCC 13032					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2004-02-18		1
GCF_020736045.1	ASM2073604v1	Haemophilus influenzae		FDAARGOS_1560					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-03		1
GCF_900475625.1	45709_F01	Levilactobacillus brevis		NCTC13768					GCF_900475625.1-RS_2024_04_07	Complete Genome	2018-06-17		1
GCF_000069185.1	ASM6918v1	Mycobacteroides abscessus ATCC 19977		ATCC 19977					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-03-01		2
GCF_019048385.1	ASM1904838v1	Pantoea agglomerans		FDAARGOS 1447					GCF_019048385.1-RS_2024_04_28	Complete Genome	2021-06-28		3
GCF_019048125.1	ASM1904812v1	Klebsiella aerogenes		FDAARGOS 1442					GCF_019048125.1-RS_2024_03_29	Complete Genome	2021-06-28		1
GCF_000832905.1	ASM83290v1	Heyndrickxia coagulans DSM 1 = ATCC 7050		ATCC 7050					GCF_000832905.1-RS_2024_06_16	Complete Genome	2015-02-05		1
GCF_002224265.1	ASM222426v1	Vibrio vulnificus NBRC 15645 = ATCC 27562		ATCC 27562					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-24		2
GCF_001888925.1	ASM188892v1	Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046		DSM 26046					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-05		1
GCF_006094455.1	ASM609445v1	Morganella morganii subsp. morganii		ATCC 25830					GCF_006094455.1-RS_2024_03_31	Complete Genome	2019-06-06		1
GCF_000022965.1	ASM2296v1	Bifidobacterium animalis subsp. lactis DSM 10140		DSM 10140					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2009-06-19		1
GCF_000025985.1	ASM2598v1	Bacteroides fragilis NCTC 9343		NCTC 9343					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2005-03-03		2
GCF_000010505.1	ASM1050v1	Porphyromonas gingivalis ATCC 33277		ATCC 33277					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-05-20		1
GCF_000014445.1	ASM1444v1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293		ATCC 8293					GCF_000014445.1-RS_2024_04_11	Complete Genome	2006-10-13		2
GCF_016026635.1	ASM1602663v1	Staphylococcus pseudintermedius		FDAARGOS_930					GCF_016026635.1-RS_2024_04_06	Complete Genome	2020-12-14		1
GCF_002950395.1	ASM295039v1	Shigella sonnei		ATCC 29930					GCF_002950395.1-RS_2024_04_16	Complete Genome	2018-02-23		2
GCF_034298135.1	ASM3429813v1	Lactobacillus acidophilus		ATCC 4356					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-12		1
GCF_028891345.1	ASM2889134v1	Xylella fastidiosa		ICMP 15197					GCF_028891345.1-RS_2024_05_06	Complete Genome	2023-03-01		2
GCF_001025175.1	ASM102517v1	Bifidobacterium breve DSM 20213 = JCM 1192		JCM 1192					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-03-24		1
GCF_036689615.1	ASM3668961v1	Pseudomonas chlororaphis subsp. chlororaphis		ATCC 9446					GCF_036689615.1-RS_2024_04_05	Complete Genome	2024-04-05		1
GCF_014131795.1	ASM1413179v1	Clostridium butyricum		DSM 10702					GCF_014131795.1-RS_2024_04_15	Complete Genome	2020-08-10		4
GCF_014131755.1	ASM1413175v1	Bacteroides thetaiotaomicron		DSM 2079					GCF_014131755.1-RS_2024_10_23	Complete Genome	2020-08-10		2
GCF_006739385.1	ASM673938v1	Cutibacterium acnes subsp. acnes		NBRC 107605					GCF_006739385.1-RS_2024_04_15	Complete Genome	2019-06-11		1
GCF_006094395.1	ASM609439v1	Staphylococcus haemolyticus		ATCC 29970					GCF_006094395.1-RS_2024_05_17	Complete Genome	2019-06-06		3
GCF_900636985.1	45889_C01	Klebsiella oxytoca		NCTC13727					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20		1
GCF_900475555.1	44257_B01	Micrococcus luteus NCTC 2665		NCTC 2665					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-17		1
GCF_019048105.1	ASM1904810v1	Providencia rettgeri		FDAARGOS 1450					GCF_019048105.1-RS_2024_03_11	Complete Genome	2021-06-28		3
GCF_016026695.1	ASM1602669v1	Lactococcus garvieae		FDAARGOS_929					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-14		2
GCF_900560965.1	PPRCHA0	Pseudomonas protegens CHA0		CHA0					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-14		1
GCF_900476005.1	51438_H01	Aeromonas caviae		NCTC12244					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-17		1
GCF_000829055.1	ASM82905v1	Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393		ATCC 393					GCF_000829055.1-RS_2024_03_28	Complete Genome	2013-08-14		3
GCF_000253175.1	ASM25317v1	Yersinia enterocolitica subsp. palearctica Y11		Y11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-01-20		2
GCF_000014425.1	ASM1442v1	Lactobacillus gasseri ATCC 33323 = JCM 1131		ATCC 33323					GCF_000014425.1-RS_2024_03_27	Complete Genome	2006-10-13		1
GCF_001729805.1	ASM172980v1	Enterobacter roggenkampii		DSM 16690					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-16		2
GCF_003290385.1	ASM329038v1	Actinobacillus pleuropneumoniae		S4074					GCF_003290385.1-RS_2024_03_28	Complete Genome	2018-07-08		1
GCF_000146165.2	ASM14616v2	Shewanella oneidensis MR-1		MR-1					GCF_000146165.2-RS_2024_03_28	Complete Genome	2012-11-02		2
GCF_001750725.1	ASM175072v1	Enterobacter ludwigii		EN-119					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-10-03		2
GCF_000183155.1	ASM18315v1	Riemerella anatipestifer ATCC 11845 = DSM 15868		DSM 15868					GCF_000183155.1-RS_2024_09_25	Complete Genome	2010-11-23		1
GCF_002023665.2	ASM202366v2	Elizabethkingia anophelis R26		R26					GCF_002023665.2-RS_2024_09_25	Complete Genome	2017-09-18		1
GCF_001457455.1	NCTC11397	Corynebacterium diphtheriae		NCTC11397					GCF_001457455.1-RS_2024_03_30	Complete Genome	2015-03-22		1
GCF_003641185.1	ASM364118v1	Lactiplantibacillus pentosus		DSM 20314					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-10-15		2
GCF_018223745.1	ASM1822374v1	Clostridium beijerinckii		DSM 791					GCF_018223745.1-RS_2024_03_17	Complete Genome	2021-05-02		2
GCF_000091545.1	ASM9154v1	Thermus thermophilus HB8		HB8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2004-11-15		3
GCF_001642675.1	ASM164267v1	Bradyrhizobium diazoefficiens USDA 110		USDA 110					GCF_001642675.1-RS_2024_06_16	Complete Genome	2016-05-12		1
GCF_022984195.1	ASM2298419v1	Synechococcus elongatus PCC 6301		PCC 6301					GCF_022984195.1-RS_2024_04_10	Complete Genome	2022-04-14		3
GCF_003019295.1	ASM301929v1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586		ATCC 25586					GCF_003019295.1-RS_2024_09_23	Complete Genome	2018-03-26		1
GCF_900474615.1	40295_D02	Mammaliicoccus sciuri		NCTC12103					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-18		1
GCF_900637475.1	51108_B01	Yersinia pseudotuberculosis		NCTC10275					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20		1
GCF_000083545.1	ASM8354v1	Methylorubrum extorquens DM4		DM4					GCF_000083545.1-RS_2024_05_15	Complete Genome	2009-07-17		3
GCF_000183385.1	ASM18338v1	Mycoplasmopsis bovis PG45		PG45					GCF_000183385.1-RS_2024_04_07	Complete Genome	2010-11-30		1
GCF_000007505.1	ASM750v1	Brucella suis 1330		1330					GCF_000007505.1-RS_2024_08_07	Complete Genome	2004-10-13		2
GCF_000007365.1	ASM736v1	Buchnera aphidicola str. Sg (Schizaphis graminum)		Sg (ex Schizaphis graminum)					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2002-07-02		1
GCF_000012365.1	ASM1236v1	Burkholderia thailandensis E264		E264; ATCC 700388					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2005-12-15		2
GCF_004101845.1	ASM410184v1	Latilactobacillus curvatus JCM 1096 = DSM 20019		DSM 20019					GCF_004101845.1-RS_2024_04_27	Complete Genome	2019-01-22		2
GCF_024925465.1	ASM2492546v1	Ralstonia pseudosolanacearum		LMG 9673					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-05		2
GCF_000204255.1	ASM20425v1	Chlamydia psittaci 6BC		6BC					GCF_000204255.1-RS_2024_03_28	Complete Genome	2011-04-14		2
GCF_002706795.1	ASM270679v1	Brevibacillus laterosporus DSM 25		DSM 25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-10-25		1
GCF_900637025.1	46338_H01	Streptococcus oralis ATCC 35037		NCTC 11427					GCF_900637025.1-RS_2024_03_17	Complete Genome	2018-12-20		1
GCF_034479305.1	ASM3447930v1	Shouchella clausii		ATCC 700160					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-19		1
GCF_001558415.2	ASM155841v2	Vibrio fluvialis		ATCC 33809					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-29		2
GCF_002155265.1	ASM215526v1	Corynebacterium pseudotuberculosis		ATCC 19410					GCF_002155265.1-RS_2024_08_23	Complete Genome	2017-05-22		1
GCF_000015865.1	ASM1586v1	Acetivibrio thermocellus ATCC 27405		ATCC 27405					GCF_000015865.1-RS_2024_08_23	Complete Genome	2007-02-14		1
GCF_000011905.1	ASM1190v1	Dehalococcoides mccartyi 195		195					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2005-01-07		1
GCF_000236925.1	ASM23692v1	Staphylococcus argenteus		MSHR1132					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-11-10		2
GCF_021216655.1	ASM2121665v1	Clavibacter michiganensis		LMG7333					GCF_021216655.1-RS_2024_03_13	Complete Genome	2021-12-16		3
GCF_000007985.2	ASM798v2	Geobacter sulfurreducens PCA		PCA					GCF_000007985.2-RS_2024_08_06	Complete Genome	2012-07-31		1
GCF_040739365.1	DSM6717	Staphylococcus capitis subsp. urealyticus		DSM 6717					GCF_040739365.1-RS_2024_07_17	Complete Genome	2024-07-18		3
GCF_009183365.2	ASM918336v2	Shewanella algae		CECT-5071					GCF_009183365.2-RS_2024_03_30	Complete Genome	2021-03-24		1
GCF_900660465.1	50648_A01-3	Mycoplasmoides pneumoniae		NCTC10119					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-29		2
GCF_020097475.1	ASM2009747v1	Escherichia fergusonii		FDAARGOS_1499					GCF_020097475.1-RS_2024_11_06	Complete Genome	2021-09-23		2
GCF_002813755.1	ASM281375v1	Enterococcus mundtii		DSM 4838					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-07		2
GCF_900636475.1	42197_F01	Streptococcus anginosus		NCTC10713					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20		1
GCF_000007805.1	ASM780v1	Pseudomonas syringae pv. tomato str. DC3000		DC3000					GCF_000007805.1-RS_2024_08_08	Complete Genome	2003-03-05		3
GCF_000010125.1	ASM1012v1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292		ATCC 15305					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2005-08-12		3
GCF_004063735.1	ASM406373v1	Paracoccus denitrificans		ATCC 19367					GCF_004063735.1-RS_2024_04_03	Complete Genome	2019-01-20		3
GCF_020546685.1	ASM2054668v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539		ATCC 13939					GCF_020546685.1-RS_2024_03_28	Complete Genome	2021-10-25		4
GCF_000092025.1	ASM9202v1	Agrobacterium fabrum str. C58		C58					GCF_000092025.1-RS_2024_04_23	Complete Genome	2007-11-05		4
GCF_000012825.1	ASM1282v1	Phocaeicola vulgatus ATCC 8482		ATCC 8482					GCF_000012825.1-RS_2024_03_28	Complete Genome	2007-06-27		1
GCF_000219215.1	ASM21921v1	Cupriavidus necator N-1		N-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-06-24		4
GCF_000021485.1	ASM2148v1	Acidithiobacillus ferrooxidans ATCC 23270		ATCC 23270					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-12-19		1
GCF_000227465.1	ASM22746v1	Bacillus spizizenii TU-B-10		TU-B-10					GCF_000227465.1-RS_2024_09_13	Complete Genome	2011-10-05		1
GCF_000010425.1	ASM1042v1	Bifidobacterium adolescentis ATCC 15703		ATCC 15703					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2006-12-05		1
GCF_000697965.2	ASM69796v2	Ensifer adhaerens		Casida A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-06-16		3
GCF_002982115.1	ASM298211v1	Lysinibacillus sphaericus		DSM 28					GCF_002982115.1-RS_2024_08_25	Complete Genome	2018-03-08		1
GCF_001456255.1	ASM145625v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759		ATCC 14048					GCF_001456255.1-RS_2024_04_26	Complete Genome	2015-12-03		2
GCF_018389705.1	ASM1838970v1	Mycoplasma mycoides subsp. capri		PG3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-05-17		1
GCF_005519465.1	ASM551946v1	Streptomyces clavuligerus		ATCC 27064					GCF_005519465.1-RS_2024_05_17	Complete Genome	2019-05-20		2
GCF_020099335.1	ASM2009933v1	Citrobacter amalonaticus		FDAARGOS_1489					GCF_020099335.1-RS_2024_11_06	Complete Genome	2021-09-23		3
GCF_000590865.3	ASM59086v3	Candidatus Liberibacter asiaticus		A4					GCF_000590865.3-RS_2024_04_25	Complete Genome	2019-11-05		1
GCF_900476085.1	50569_G01	Mycoplasmoides gallisepticum		NCTC10115					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-19		1
GCF_900637055.1	46837_E02	Brevibacillus brevis		NCTC2611					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20		1
GCF_017724035.1	ASM1772403v1	Xanthomonas euvesicatoria pv. alfalfae		CFBP3836					GCF_017724035.1-RS_2024_05_06	Complete Genome	2021-04-03		2
GCF_000960995.1	ASM96099v1	Burkholderia glumae LMG 2196 = ATCC 33617		ATCC 33617					GCF_000960995.1-RS_2024_06_16	Complete Genome	2015-03-24		4
GCF_019916025.1	ASM1991602v1	Paraclostridium bifermentans		DSM 14991					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-09		5
GCF_028596125.1	ASM2859612v1	Listeria innocua		ATCC 33090					GCF_028596125.1-RS_2024_03_23	Complete Genome	2023-02-12		2
GCF_019046945.1	ASM1904694v1	Streptococcus gordonii		FDAARGOS 1454					GCF_019046945.1-RS_2024_07_20	Complete Genome	2021-06-28		1
GCF_001025215.1	ASM102521v1	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505		JCM 1200					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-03-24		1
GCF_000014025.1	ASM1402v1	Aliarcobacter butzleri RM4018		RM4018					GCF_000014025.1-RS_2024_03_28	Complete Genome	2007-09-27		1
GCF_000973705.1	ASM97370v1	Clostridium sporogenes		NCIMB 10696					GCF_000973705.1-RS_2024_03_28	Complete Genome	2015-04-20		1
GCF_016406325.1	ASM1640632v1	Shewanella putrefaciens		ATCC 8071					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-27		1
GCF_003049785.1	ASM304978v1	Dickeya dadantii		DSM 18020					GCF_003049785.1-RS_2024_08_07	Complete Genome	2018-04-12		1
GCF_000009765.2	ASM976v2	Streptomyces avermitilis MA-4680 = NBRC 14893		MA-4680					GCF_000009765.2-RS_2024_03_28	Complete Genome	2016-03-24		2
GCF_028885435.1	ASM2888543v1	Mesomycoplasma ovipneumoniae ATCC 29419		Y98					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-28		1
GCF_000012765.1	ASM1276v1	Mycoplasma capricolum subsp. capricolum ATCC 27343		ATCC 27343					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2005-12-06		1
GCF_004792415.1	ASM479241v1	Pantoea vagans		LMG 24199					GCF_004792415.1-RS_2024_03_22	Complete Genome	2019-04-14		3
GCF_001006005.1	ASM100600v1	Serratia fonticola		DSM 4576					GCF_001006005.1-RS_2024_04_26	Complete Genome	2015-05-11		1
GCF_900475375.1	42685_B01	Elizabethkingia meningoseptica		NCTC10016					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-17		1
GCF_001314995.1	ASM131499v1	Bacteroides ovatus		ATCC 8483					GCF_001314995.1-RS_2024_03_28	Complete Genome	2015-10-15		1
GCF_000062885.1	ASM6288v1	Saccharopolyspora erythraea NRRL 2338		NRRL 2338					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-03-21		1
GCF_000157895.3	ASM15789v2	Mycobacterium kansasii ATCC 12478		ATCC 12478					GCF_000157895.3-RS_2024_03_28	Complete Genome	2013-11-01		2
GCF_021278985.1	ASM2127898v1	Citrobacter rodentium NBRC 105723 = DSM 16636		DSM 16636					GCF_021278985.1-RS_2024_03_28	Complete Genome	2021-12-23		2
GCF_000422085.1	ASM42208v1	Serratia liquefaciens ATCC 27592		ATCC 27592					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-07-11		2
GCF_001632805.1	ASM163280v1	Mycobacteroides chelonae CCUG 47445		CCUG 47445					GCF_001632805.1-RS_2024_03_28	Complete Genome	2016-04-27		1
GCF_003367075.2	ASM336707v2	Cylindrospermopsis raciborskii Cr2010		Cr2010					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-24		1
GCF_000018525.1	ASM1852v1	Brucella canis ATCC 23365		ATCC 23365					GCF_000018525.1-RS_2024_08_07	Complete Genome	2007-11-29		2
GCF_900475975.1	46931_F01	Streptococcus intermedius		NCTC11324					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-17		1
GCF_003343245.1	ASM334324v1	Photorhabdus laumondii subsp. laumondii		TT01					GCF_003343245.1-RS_2024_03_29	Complete Genome	2018-07-26		1
GCF_009831375.1	ASM983137v1	Mediterraneibacter gnavus ATCC 29149		ATCC 29149					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-01-06		1
GCF_023278185.1	ASM2327818v1	Bradyrhizobium elkanii USDA 76		USDA 76					GCF_023278185.1-RS_2024_03_29	Complete Genome	2022-05-09		2
GCF_002243645.1	ASM224364v1	Peribacillus simplex NBRC 15720 = DSM 1321		DSM 1321					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-08-08		1
GCF_000969765.1	ASM96976v1	Mycoplasmopsis synoviae ATCC 25204		WVU1853T					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-04-07		1
GCF_002355775.1	ASM235577v1	Mycobacterium ulcerans subsp. shinshuense		ATCC 33728					GCF_002355775.1-RS_2024_03_29	Complete Genome	2016-08-04		2
GCF_900324475.1	EB-247	Enterobacter bugandensis					EB-247		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-04		1
GCF_001028665.1	ASM102866v1	Burkholderia pyrrocinia		DSM 10685					GCF_001028665.1-RS_2024_03_27	Complete Genome	2015-06-12		4
GCF_900475595.1	44343_G01	Streptococcus uberis		NCTC3858					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-17		1
GCF_003584685.1	ASM358468v1	Lactobacillus paragasseri		JCM 5343					GCF_003584685.1-RS_2024_03_30	Complete Genome	2018-06-21		1
GCF_001700985.1	ASM170098v1	Parageobacillus thermoglucosidasius		Wild Type					GCF_001700985.1-RS_2024_05_13	Complete Genome	2016-08-09		3
GCF_018314255.1	ASM1831425v1	Lentilactobacillus buchneri		ATCC 4005					GCF_018314255.1-RS_2024_05_21	Complete Genome	2021-05-10		2
GCF_000196795.1	ASM19679v1	Acinetobacter oleivorans DR1		DR1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-06-21		1
GCF_008639165.1	ASM863916v1	Streptomyces venezuelae ATCC 10712		ATCC 10712					GCF_008639165.1-RS_2024_04_23	Complete Genome	2019-09-23		1
GCF_000196175.1	ASM19617v1	Bdellovibrio bacteriovorus HD100		HD100					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2004-02-10		1
GCF_000007205.1	ASM720v1	Chlamydia pneumoniae TW-183		TW-183					GCF_000007205.1-RS_2024_03_28	Complete Genome	2003-07-25		1
GCF_001040945.1	ASM104094v1	Herbaspirillum seropedicae		Z67					GCF_001040945.1-RS_2024_03_28	Complete Genome	2015-06-26		1
GCF_033956065.1	ASM3395606v1	Burkholderia mallei		ATCC 23344					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-27		2
GCF_019930925.1	ASM1993092v1	Bartonella henselae		FDAARGOS_1462					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-12		1
GCF_000020025.1	ASM2002v1	Nostoc punctiforme PCC 73102		ATCC 29133; PCC 73102					GCF_000020025.1-RS_2024_03_15	Complete Genome	2008-04-24		6
GCF_000196875.2	ASM19687v2	Halomonas elongata DSM 2581		type strain: DSM 2581					GCF_000196875.2-RS_2024_11_21	Complete Genome	2017-01-31		1
GCF_000019725.1	ASM1972v1	Methylobacterium radiotolerans JCM 2831		JCM 2831					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-03-21		9
GCF_000008205.1	ASM820v1	Mesomycoplasma hyopneumoniae J		J					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2005-08-05		1
GCF_002812485.1	ASM281248v1	Dickeya fangzhongdai		DSM 101947					GCF_002812485.1-RS_2024_04_22	Complete Genome	2017-12-06		2
GCF_001610955.1	ASM161095v1	Geobacillus thermoleovorans		KCTC 3570					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-04-05		2
