Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP097562.1	56191	56526		minus	hypothetical protein		0	protein-coding		WP_023276743.1	111	N508_RS00305
NZ_CP097562.1	56649	57410		plus	endonuclease		0	protein-coding		WP_023276742.1	253	N508_RS00310
NZ_CP097562.1	57481	57786		plus	hypothetical protein		0	protein-coding		WP_023276741.1	101	N508_RS00315
NZ_CP097562.1	58161	59030		plus	N-6 DNA methylase		0	protein-coding		WP_023276739.1	289	N508_RS00320
NZ_CP097562.1	59518	59787		plus	30S ribosomal protein S15	rpsO	0	protein-coding		WP_023276738.1	89	N508_RS00325
NZ_CP097562.1	59792	61921		plus	polyribonucleotide nucleotidyltransferase	pnp	0	protein-coding		WP_023276737.1	709	N508_RS00330
NZ_CP097562.1	62070	62447		minus	META domain-containing protein		0	protein-coding		WP_023276736.1	125	N508_RS00335
NZ_CP097562.1	62623	63057		plus	dUTP diphosphatase	dut	0	protein-coding		WP_023276735.1	144	N508_RS00340
NZ_CP097562.1	63089	65626		plus	alpha-glucan family phosphorylase	glgP	0	protein-coding		WP_023276734.1	845	N508_RS00345
NZ_CP097562.1	65628	66131		plus	PaaI family thioesterase		0	protein-coding		WP_023276733.1	167	N508_RS00350
NZ_CP097562.1	66291	67193		plus	phosphate-starvation-inducible PsiE family protein		0	protein-coding		WP_023276732.1	300	N508_RS00355
NZ_CP097562.1	67655	68614		plus	6-phosphofructokinase	pfkA	0	protein-coding		WP_023276731.1	319	N508_RS00360
NZ_CP097562.1	68669	68923		minus	DNA-directed RNA polymerase subunit omega	rpoZ	0	protein-coding		WP_023276730.1	84	N508_RS00365
NZ_CP097562.1	68937	69542		minus	guanylate kinase	gmk	0	protein-coding		WP_023276729.1	201	N508_RS00370
NZ_CP097562.1	69611	70372		minus	ABC transporter ATP-binding protein		0	protein-coding		WP_023276728.1	253	N508_RS00375
NZ_CP097562.1	70382	71410		minus	iron ABC transporter permease		0	protein-coding		WP_023276727.1	342	N508_RS00380
NZ_CP097562.1	71400	72575		minus	ABC transporter substrate-binding protein		0	protein-coding		WP_023276726.1	391	N508_RS00385
NZ_CP097562.1	72578	73087		minus	FmdE family protein		0	protein-coding		WP_023276725.1	169	N508_RS00390
NZ_CP097562.1	73414	74352		plus	DDE-type integrase/transposase/recombinase		0	protein-coding		WP_023274862.1	312	N508_RS00395
NZ_CP097562.1	74473	74545		plus	tRNA-Gly		0	tRNA				N508_RS00400
NZ_CP097562.1	74555	74625		plus	tRNA-Cys		0	tRNA				N508_RS00405
NZ_CP097562.1	74691	75143		plus	hypothetical protein		0	protein-coding		WP_023276724.1	150	N508_RS00410
NZ_CP097562.1	75243	76145		plus	thioredoxin domain-containing protein		0	protein-coding		WP_023276723.1	300	N508_RS00415
NZ_CP097562.1	76264	78156		plus	DNA mismatch repair endonuclease MutL	mutL	0	protein-coding		WP_023276722.1	630	N508_RS00420
NZ_CP097562.1	78153	79073		plus	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	miaA	0	protein-coding		WP_023276721.1	306	N508_RS00425
NZ_CP097562.1	79070	79360		plus	septum formation initiator family protein		0	protein-coding		WP_023276720.1	96	N508_RS00430
NZ_CP097562.1	79372	81021		plus	exodeoxyribonuclease VII large subunit	xseA	0	protein-coding		WP_023276719.1	549	N508_RS00435
NZ_CP097562.1	81143	81622		plus	transcription elongation factor GreA	greA	0	protein-coding		WP_023276718.1	159	N508_RS00440
NZ_CP097562.1	81648	82208		plus	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	pgsA	0	protein-coding		WP_023276717.1	186	N508_RS00445
NZ_CP097562.1	82211	82822		plus	glycerol-3-phosphate 1-O-acyltransferase PlsY	plsY	0	protein-coding		WP_023276716.1	203	N508_RS00450
NZ_CP097562.1	82833	83951		plus	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	ribD	0	protein-coding		WP_023276715.1	372	N508_RS00455
NZ_CP097562.1	83953	84588		plus	riboflavin synthase		0	protein-coding		WP_023276714.1	211	N508_RS00460
NZ_CP097562.1	84601	85803		plus	"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II"		0	protein-coding		WP_040637350.1	400	N508_RS00465
NZ_CP097562.1	85825	86286		plus	"6,7-dimethyl-8-ribityllumazine synthase"	ribE	0	protein-coding		WP_023276712.1	153	N508_RS00470
NZ_CP097562.1	86291	86725		plus	transcription antitermination factor NusB	nusB	0	protein-coding		WP_023276711.1	144	N508_RS00475
NZ_CP097562.1	86712	87101		plus	hypothetical protein		0	protein-coding		WP_023276710.1	129	N508_RS00480
NZ_CP097562.1	87104	87382		plus	DUF4911 domain-containing protein		0	protein-coding		WP_023276709.1	92	N508_RS00485
NZ_CP097562.1	87383	88318		plus	HD domain-containing protein		0	protein-coding		WP_023276708.1	311	N508_RS00490
NZ_CP097562.1	88321	89097		plus	TIGR00282 family metallophosphoesterase		0	protein-coding		WP_023276707.1	258	N508_RS00495
NZ_CP097562.1	89115	89546		plus	ribose 5-phosphate isomerase B	rpiB	0	protein-coding		WP_023276706.1	143	N508_RS00500
NZ_CP097562.1	89578	90834		plus	serine hydroxymethyltransferase	glyA	0	protein-coding		WP_023276705.1	418	N508_RS00505
NZ_CP097562.1	90836	91288		plus	cytidine/deoxycytidylate deaminase family protein		0	protein-coding		WP_023276704.1	150	N508_RS00510
NZ_CP097562.1	91288	92586		plus	electron transport complex subunit RsxC	rsxC	0	protein-coding		WP_023276703.1	432	N508_RS00515
NZ_CP097562.1	92588	93568		plus	RnfABCDGE type electron transport complex subunit D		0	protein-coding		WP_023276702.1	326	N508_RS00520
NZ_CP097562.1	93552	94097		plus	RnfABCDGE type electron transport complex subunit G		0	protein-coding		WP_023276701.1	181	N508_RS00525
NZ_CP097562.1	94099	94698		plus	electron transport complex subunit E		0	protein-coding		WP_023276700.1	199	N508_RS00530
NZ_CP097562.1	94698	95276		plus	electron transport complex subunit RsxA	rsxA	0	protein-coding		WP_023276699.1	192	N508_RS00535
NZ_CP097562.1	95278	96051		plus	RnfABCDGE type electron transport complex subunit B		0	protein-coding		WP_023276698.1	257	N508_RS00540
NZ_CP097562.1	96109	96813		plus	orotidine-5'-phosphate decarboxylase	pyrF	0	protein-coding		WP_023276697.1	234	N508_RS00545
NZ_CP097562.1	96806	97393		plus	orotate phosphoribosyltransferase	pyrE	0	protein-coding		WP_023276696.1	195	N508_RS00550
NZ_CP097562.1	97383	98096		plus	PilZ domain-containing protein		0	protein-coding		WP_023276695.1	237	N508_RS00555
NZ_CP097562.1	98086	98436		plus	STAS domain-containing protein		0	protein-coding		WP_023276694.1	116	N508_RS00560
NZ_CP097562.1	98455	99495		plus	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	rlmN	0	protein-coding		WP_023276693.1	346	N508_RS00565
NZ_CP097562.1	99521	99976		plus	peroxiredoxin		0	protein-coding		WP_023276692.1	151	N508_RS00570
NZ_CP097562.1	99976	100209		plus	exodeoxyribonuclease VII small subunit	xseB	0	protein-coding		WP_023276691.1	77	N508_RS00575
NZ_CP097562.1	100202	101095		plus	polyprenyl synthetase family protein		0	protein-coding		WP_023276690.1	297	N508_RS00580
NZ_CP097562.1	101092	102972		plus	1-deoxy-D-xylulose-5-phosphate synthase	dxs	0	protein-coding		WP_040637328.1	626	N508_RS00585
NZ_CP097562.1	102988	103770		plus	TlyA family RNA methyltransferase		0	protein-coding		WP_023276688.1	260	N508_RS00590
NZ_CP097562.1	103771	104628		plus	NAD(+)/NADH kinase		0	protein-coding		WP_023276687.1	285	N508_RS00595
NZ_CP097562.1	104622	106277		plus	DNA repair protein RecN	recN	0	protein-coding		WP_023276686.1	551	N508_RS00600
NZ_CP097562.1	106277	106933		plus	DedA family protein		0	protein-coding		WP_023276685.1	218	N508_RS00605
NZ_CP097562.1	106946	108118		plus	peptidoglycan DD-metalloendopeptidase family protein		0	protein-coding		WP_023276684.1	390	N508_RS00610
NZ_CP097562.1	108338	109900		minus	sigma-54-dependent Fis family transcriptional regulator		0	protein-coding		WP_023276683.1	520	N508_RS00615
NZ_CP097562.1	110039	110977		minus	DDE-type integrase/transposase/recombinase		0	protein-coding		WP_023275060.1	312	N508_RS00620
NZ_CP097562.1	111168	112403		minus	LL-diaminopimelate aminotransferase		0	protein-coding		WP_023276146.1	411	N508_RS00625
NZ_CP097562.1	112406	113797		minus	glutamate synthase subunit beta		0	protein-coding		WP_023276147.1	463	N508_RS00630
NZ_CP097562.1	113817	118229		minus	glutamate synthase large subunit	gltB	0	protein-coding		WP_023276148.1	1470	N508_RS00635
NZ_CP097562.1	118538	120676		plus	glutamine synthetase III		0	protein-coding		WP_251930643.1	712	N508_RS00640
NZ_CP097562.1	120887	121825		plus	DDE-type integrase/transposase/recombinase		0	protein-coding		WP_023275060.1	312	N508_RS00645
NZ_CP097562.1	121993	123096		plus	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA	0	protein-coding		WP_023276150.1	367	N508_RS00650
NZ_CP097562.1	123098	126361		plus	carbamoyl-phosphate synthase large subunit	carB	0	protein-coding		WP_023276151.1	1087	N508_RS00655
NZ_CP097562.1	126581	127696		minus	hypothetical protein		0	protein-coding		WP_143815536.1	371	N508_RS00660
NZ_CP097562.1	127675	128163		plus	hypothetical protein		0	protein-coding		WP_023276153.1	162	N508_RS00665
NZ_CP097562.1	128271	128903		minus	molecular chaperone TorD family protein		0	protein-coding		WP_023276154.1	210	N508_RS00670
NZ_CP097562.1	128903	129595		minus	4Fe-4S dicluster domain-containing protein		0	protein-coding		WP_023276155.1	230	N508_RS00675
NZ_CP097562.1	129605	132268		minus	molybdopterin-dependent oxidoreductase		0	protein-coding		WP_023276156.1	887	N508_RS00680
NZ_CP097562.1	132441	133274		plus	PHP domain-containing protein		0	protein-coding		WP_023276157.1	277	N508_RS00685
NZ_CP097562.1	133282	134181		plus	site-specific tyrosine recombinase/integron integrase	xerA	0	protein-coding		WP_023276158.1	299	N508_RS00690
NZ_CP097562.1	134178	136802		plus	CBS domain-containing protein		0	protein-coding		WP_023276159.1	874	N508_RS00695
NZ_CP097562.1	136806	137762		plus	PhoH family protein		0	protein-coding		WP_023276160.1	318	N508_RS00700
NZ_CP097562.1	137767	138201		plus	rRNA maturation RNase YbeY	ybeY	0	protein-coding		WP_023276161.1	144	N508_RS00705
NZ_CP097562.1	138341	139627		plus	hemolysin family protein		0	protein-coding		WP_023276162.1	428	N508_RS00710
NZ_CP097562.1	139620	140516		plus	GTPase Era	era	0	protein-coding		WP_023276163.1	298	N508_RS00715
NZ_CP097562.1	140513	142282		minus	hypothetical protein		0	protein-coding		WP_023276164.1	589	N508_RS00720
NZ_CP097562.1	142282	142563		minus	integration host factor subunit beta		0	protein-coding		WP_023276165.1	93	N508_RS00725
NZ_CP097562.1	142651	144165		plus	murein biosynthesis integral membrane protein MurJ	murJ	0	protein-coding		WP_023276166.1	504	N508_RS00730
NZ_CP097562.1	144162	144602		plus	D-aminoacyl-tRNA deacylase	dtd	0	protein-coding		WP_023276167.1	146	N508_RS00735
NZ_CP097562.1	144605	145228		plus	MBL fold metallo-hydrolase		0	protein-coding		WP_023276168.1	207	N508_RS00740
NZ_CP097562.1	145282	145869		plus	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tsaB	0	protein-coding		WP_076653906.1	195	N508_RS00745
NZ_CP097562.1	145847	146272		plus	ribosomal protein S18-alanine N-acetyltransferase	rimI	0	protein-coding		WP_023276170.1	141	N508_RS00750
NZ_CP097562.1	146295	146513		plus	DUF465 domain-containing protein		0	protein-coding		WP_023276171.1	72	N508_RS00755
NZ_CP097562.1	146547	147701		plus	methionine adenosyltransferase	metK	0	protein-coding		WP_023276172.1	384	N508_RS00760
NZ_CP097562.1	147704	148963		plus	adenosylhomocysteinase	ahcY	0	protein-coding		WP_023276173.1	419	N508_RS00765
NZ_CP097562.1	148963	150327		plus	NAD(P)/FAD-dependent oxidoreductase		0	protein-coding		WP_023276174.1	454	N508_RS00770
NZ_CP097562.1	150324	151037		plus	lysophospholipid acyltransferase family protein		0	protein-coding		WP_023276175.1	237	N508_RS00775
NZ_CP097562.1	151025	151522		plus	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK	0	protein-coding		WP_023276176.1	165	N508_RS00780
NZ_CP097562.1	151618	152871		plus	histidine--tRNA ligase	hisS	0	protein-coding		WP_023276177.1	417	N508_RS00785
NZ_CP097562.1	152891	154687		plus	aspartate--tRNA ligase	aspS	0	protein-coding		WP_023276178.1	598	N508_RS00790
NZ_CP097562.1	154764	155540		plus	LysM peptidoglycan-binding domain-containing protein		0	protein-coding		WP_023276179.1	258	N508_RS00795
NZ_CP097562.1	155601	156248		plus	TIGR00730 family Rossman fold protein		0	protein-coding		WP_023276180.1	215	N508_RS00800
NZ_CP097562.1	156250	156747		minus	molybdopterin-guanine dinucleotide biosynthesis protein B	mobB	0	protein-coding		WP_023276181.1	165	N508_RS00805
NZ_CP097562.1	156841	158649		plus	ATP-dependent DNA helicase		0	protein-coding		WP_023276182.1	602	N508_RS00810
NZ_CP097562.1	158642	160003		plus	glucose-6-phosphate isomerase		0	protein-coding		WP_023276183.1	453	N508_RS00815
NZ_CP097562.1	159987	161216		plus	tRNA lysidine(34) synthetase TilS	tilS	0	protein-coding		WP_023276184.1	409	N508_RS00820
NZ_CP097562.1	161218	161736		plus	hypoxanthine phosphoribosyltransferase	hpt	0	protein-coding		WP_023276185.1	172	N508_RS00825
NZ_CP097562.1	161752	163626		plus	ATP-dependent zinc metalloprotease FtsH	ftsH	0	protein-coding		WP_023276186.1	624	N508_RS00830
NZ_CP097562.1	163642	164829		plus	dihydropteroate synthase	folP	0	protein-coding		WP_023276187.1	395	N508_RS00835
NZ_CP097562.1	164826	165608		plus	diadenylate cyclase CdaA	cdaA	0	protein-coding		WP_023276188.1	260	N508_RS00840
NZ_CP097562.1	165610	166512		plus	YbbR-like domain-containing protein		0	protein-coding		WP_023276189.1	300	N508_RS00845
NZ_CP097562.1	166509	167855		plus	phosphoglucosamine mutase	glmM	0	protein-coding		WP_023276190.1	448	N508_RS00850
NZ_CP097562.1	167855	168568		plus	pyridoxine 5'-phosphate synthase		0	protein-coding		WP_023276191.1	237	N508_RS00855
NZ_CP097562.1	168571	168921		plus	holo-ACP synthase	acpS	0	protein-coding		WP_023276192.1	116	N508_RS00860
NZ_CP097562.1	168918	169649		plus	3-deoxy-manno-octulosonate cytidylyltransferase	kdsB	0	protein-coding		WP_023276193.1	243	N508_RS00865
NZ_CP097562.1	169649	171274		plus	CTP synthase		0	protein-coding		WP_023276194.1	541	N508_RS00870
NZ_CP097562.1	171286	172257		plus	KpsF/GutQ family sugar-phosphate isomerase		0	protein-coding		WP_023276195.1	323	N508_RS00875
NZ_CP097562.1	172261	172830		plus	hypothetical protein		0	protein-coding		WP_023276196.1	189	N508_RS00880
NZ_CP097562.1	172849	173346		plus	lipopolysaccharide transport periplasmic protein LptA	lptA	0	protein-coding		WP_040637062.1	165	N508_RS00885
NZ_CP097562.1	173346	174065		plus	LPS export ABC transporter ATP-binding protein	lptB	0	protein-coding		WP_023276198.1	239	N508_RS00890
NZ_CP097562.1	174065	175537		plus	RNA polymerase factor sigma-54	rpoN	0	protein-coding		WP_023276199.1	490	N508_RS00895
NZ_CP097562.1	175542	176081		plus	ribosome-associated translation inhibitor RaiA	raiA	0	protein-coding		WP_023276200.1	179	N508_RS00900
NZ_CP097562.1	176164	177009		plus	RNase adapter RapZ	rapZ	0	protein-coding		WP_023276201.1	281	N508_RS00905
NZ_CP097562.1	177027	177428		plus	hypothetical protein		0	protein-coding		WP_023276202.1	133	N508_RS00910
NZ_CP097562.1	177425	177901		plus	PTS sugar transporter subunit IIB		0	protein-coding		WP_023276203.1	158	N508_RS00915
NZ_CP097562.1	177909	178592		plus	PTS sugar transporter subunit IIC		0	protein-coding		WP_023276204.1	227	N508_RS00920
NZ_CP097562.1	178589	179293		plus	PTS system mannose/fructose/sorbose family transporter subunit IID		0	protein-coding		WP_023276205.1	234	N508_RS00925
NZ_CP097562.1	179295	179567		plus	HPr family phosphocarrier protein		0	protein-coding		WP_023276206.1	90	N508_RS00930
NZ_CP097562.1	179564	181276		plus	phosphoenolpyruvate--protein phosphotransferase	ptsP	0	protein-coding		WP_023276207.1	570	N508_RS00935
NZ_CP097562.1	181374	182159		plus	efflux RND transporter periplasmic adaptor subunit		0	protein-coding		WP_023276208.1	261	N508_RS00940
NZ_CP097562.1	182164	183084		plus	ABC transporter ATP-binding protein		0	protein-coding		WP_023276209.1	306	N508_RS00945
NZ_CP097562.1	183077	184000		plus	ABC transporter ATP-binding protein		0	protein-coding		WP_023276210.1	307	N508_RS00950
NZ_CP097562.1	184000	185130		plus	ABC transporter permease		0	protein-coding		WP_023276211.1	376	N508_RS00955
NZ_CP097562.1	185133	186254		plus	ABC transporter permease		0	protein-coding		WP_023276212.1	373	N508_RS00960
NZ_CP097562.1	186264	186578		plus	TfoX/Sxy family protein		0	protein-coding		WP_023276213.1	104	N508_RS00965
NZ_CP097562.1	186635	187453		minus	nitroreductase family protein		0	protein-coding		WP_023276214.1	272	N508_RS00970
NZ_CP097562.1	187521	188453		minus	glycosyltransferase family 2 protein		0	protein-coding		WP_023276215.1	310	N508_RS00975
NZ_CP097562.1	188532	189233		plus	7-carboxy-7-deazaguanine synthase QueE		0	protein-coding		WP_023276216.1	233	N508_RS00980
NZ_CP097562.1	189269	189487		plus	cell division protein ZapB	zapB	0	protein-coding		WP_023276217.1	72	N508_RS00985
NZ_CP097562.1	189499	189771		plus	cell division protein ZapA		0	protein-coding		WP_023276218.1	90	N508_RS00990
NZ_CP097562.1	189770	189951		plus	6S RNA	ssrS	0	ncRNA				N508_RS00995
NZ_CP097562.1	190014	191225		plus	AAA family ATPase		0	protein-coding		WP_023276219.1	403	N508_RS01000
NZ_CP097562.1	191218	191763		plus	5-formyltetrahydrofolate cyclo-ligase		0	protein-coding		WP_023276220.1	181	N508_RS01005
NZ_CP097562.1	191763	193319		plus	ribonuclease Y	rny	0	protein-coding		WP_023276221.1	518	N508_RS01010
NZ_CP097562.1	193647	194573		minus	RNA polymerase sigma factor RpoD/SigA		0	protein-coding		WP_023276223.1	308	N508_RS01015
NZ_CP097562.1	194787	196127		minus	FCSD flavin-binding domain-containing protein		0	protein-coding		WP_023276224.1	446	N508_RS01020
NZ_CP097562.1	196141	196764		minus	c-type cytochrome		0	protein-coding		WP_023276225.1	207	N508_RS01025
NZ_CP097562.1	196952	198307		plus	magnesium transporter	mgtE	0	protein-coding		WP_023276226.1	451	N508_RS01030
NZ_CP097562.1	198309	199019		plus	DNA repair protein RecO C-terminal domain-containing protein		0	protein-coding		WP_023276227.1	236	N508_RS01035
NZ_CP097562.1	199073	200530		minus	lysine--tRNA ligase	lysS	0	protein-coding		WP_023276228.1	485	N508_RS01040
NZ_CP097562.1	200546	201292		minus	hypothetical protein		0	protein-coding		WP_023276229.1	248	N508_RS01045
NZ_CP097562.1	201433	202344		plus	hypothetical protein		0	protein-coding		WP_023276230.1	303	N508_RS01050
NZ_CP097562.1	202491	203687		plus	hypothetical protein		0	protein-coding		WP_023276231.1	398	N508_RS01055
NZ_CP097562.1	203809	205020		plus	hypothetical protein		0	protein-coding		WP_023276232.1	403	N508_RS01060
NZ_CP097562.1	205167	206105		plus	DDE-type integrase/transposase/recombinase		0	protein-coding		WP_023274862.1	312	N508_RS01065
NZ_CP097562.1	206410	207558		plus	hypothetical protein		0	protein-coding		WP_023276233.1	382	N508_RS01070
NZ_CP097562.1	207758	210049		minus	vitamin B12-dependent ribonucleotide reductase		0	protein-coding		WP_023276234.1	763	N508_RS01075
NZ_CP097562.1	210192	211151		minus	ornithine cyclodeaminase family protein		0	protein-coding		WP_023276235.1	319	N508_RS01080
NZ_CP097562.1	211178	211585		minus	Rrf2 family transcriptional regulator		0	protein-coding		WP_023276236.1	135	N508_RS01085
NZ_CP097562.1	211925	211999		plus	tRNA-Gln		0	tRNA				N508_RS01090
NZ_CP097562.1	212039	213160		plus	glutamate 5-kinase	proB	0	protein-coding		WP_023276237.1	373	N508_RS01095
NZ_CP097562.1	213176	214417		plus	glutamate-5-semialdehyde dehydrogenase		0	protein-coding		WP_023276238.1	413	N508_RS01100
